No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
1, ['Close_norm'], None, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4836, 0.0578, 0.4667, 0.0731, 0.009, 0.003, 0.137, +---+, 0.594, -0.305, -0.697
 1, ['Close_norm'], None, euclidean, padding, 10, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4892, 0.0494, 0.4486, 0.0572, 0.008, 0.003, 0.133, --+-+, 1.059, 0.06, 3.473
 1, ['Close_norm'], None, euclidean, padding, 10, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5042, 0.0436, 0.4834, 0.0331, 0.008, 0.003, 0.157, +-+++, 0.938, 4.149, 69.979
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4925, 0.0625, 0.4791, 0.0691, 0.008, 0.003, 0.265, +-+-+, 0.431, -0.655, -11.769
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5152, 0.0545, 0.491, 0.0405, 0.008, 0.003, 0.146, -++++, 0.282, 4.675, 80.323
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4932, 0.0651, 0.4756, 0.0815, 0.008, 0.003, 0.321, +-+--, 0.164, 2.064, 28.503
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4473, 0.0415, 0.4171, 0.0559, 0.008, 0.003, 0.143, ---++, 0.237, -5.099, -74.375
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5089, 0.0496, 0.4813, 0.0521, 0.008, 0.003, 0.312, +++--, 0.889, 2.416, 31.959
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4769, 0.0436, 0.394, 0.0771, 0.008, 0.003, 0.104, X-X++, 0.117, -1.021, -9.89
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5236, 0.0556, 0.5194, 0.0545, 0.008, 0.003, 0.182, +-+++, 1.536, 3.646, 61.864
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5294, 0.0441, 0.4904, 0.0361, 0.008, 0.003, 0.122, +--+-, 0.779, 2.742, 42.155
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4958, 0.0455, 0.482, 0.0484, 0.008, 0.003, 0.185, --++-, 0.727, 1.799, 29.264
 1, ['Close_norm'], None, euclidean, time_join, 10, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4936, 0.0638, 0.4764, 0.0794, 0.009, 0.003, 0.135, +--++, 0.76, 0.169, 7.477
 1, ['Close_norm'], None, euclidean, time_join, 10, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4866, 0.0465, 0.4446, 0.0541, 0.008, 0.003, 0.133, --+-+, 1.038, -0.058, 1.429
 1, ['Close_norm'], None, euclidean, time_join, 10, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5042, 0.046, 0.485, 0.0374, 0.008, 0.003, 0.171, +-+++, 0.976, 3.178, 53.085
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 10, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.505, 0.0592, 0.4917, 0.0638, 0.008, 0.003, 0.258, +-+-+, 0.318, -0.276, -3.97
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 10, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5103, 0.0644, 0.4837, 0.0678, 0.008, 0.003, 0.132, -+++-, 0.079, 2.822, 43.969
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 10, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.469, 0.0696, 0.4565, 0.0834, 0.008, 0.003, 0.367, +-+--, -0.275, 1.282, 13.522
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 10, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4366, 0.0319, 0.4074, 0.0465, 0.008, 0.003, 0.129, ---+-, -0.007, -6.276, -99.844
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 10, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5261, 0.0316, 0.4984, 0.0358, 0.008, 0.003, 0.272, +++++, 1.426, 5.863, 96.286
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 10, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4797, 0.0445, 0.3788, 0.0673, 0.008, 0.003, 0.069, X-X++, 0.418, 0.679, 21.687
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 10, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5037, 0.045, 0.493, 0.0447, 0.008, 0.003, 0.18, +-+++, 1.503, 2.356, 38.295
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 10, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5347, 0.0439, 0.4999, 0.0299, 0.008, 0.003, 0.115, +--+-, 1.263, 2.807, 44.722
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 10, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5099, 0.044, 0.4968, 0.0466, 0.008, 0.003, 0.185, --+++, 0.991, 2.819, 48.999
 1, ['Close_norm'], None, euclidean, delay_time_join, 10, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4936, 0.0531, 0.4812, 0.0631, 0.008, 0.003, 0.157, +-+-+, 0.625, 0.271, 7.202
 1, ['Close_norm'], None, euclidean, delay_time_join, 10, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5186, 0.0358, 0.5042, 0.0258, 0.008, 0.003, 0.16, +-+++, 1.184, 3.345, 53.163
 1, ['Close_norm'], None, euclidean, delay_time_join, 10, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5213, 0.0542, 0.4596, 0.0741, 0.008, 0.003, 0.1, X--++, 1.069, -0.168, 0.153
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, delay_time_join, 10, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5176, 0.0774, 0.5058, 0.0809, 0.008, 0.003, 0.225, +---+, 0.35, 1.457, 23.218
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, delay_time_join, 10, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4976, 0.06, 0.4466, 0.0612, 0.008, 0.003, 0.124, ++-+-, 0.225, 2.317, 30.231
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, delay_time_join, 10, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5068, 0.0426, 0.4969, 0.0515, 0.008, 0.002, 0.316, +-+--, 0.22, 3.144, 46.986
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, delay_time_join, 10, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4797, 0.0307, 0.4557, 0.0399, 0.008, 0.003, 0.14, +-+--, 0.645, -0.236, -5.568
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, delay_time_join, 10, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5117, 0.0391, 0.4734, 0.052, 0.008, 0.004, 0.295, ++-+-, 0.443, 0.02, -0.994
