No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, delay_time_join, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4971, 0.0222, 0.4549, 0.0497, NaN, NaN, 0.188, +---+, 0.059, -1.989, -26.347
 1, ['Close_norm'], None, euclidean, pip, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4972, 0.0402, 0.4885, 0.0337, NaN, NaN, 0.239, ++---, -0.007, -0.461, -14.922
 1, ['Close_norm'], None, euclidean, pip, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4871, 0.0495, 0.4722, 0.0669, NaN, NaN, 0.231, +-+--, 0.313, 1.081, 12.523
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, pip, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4986, 0.0464, 0.4945, 0.0468, NaN, NaN, 0.426, +-+-+, 0.58, 1.822, 32.372
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, pip, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4905, 0.0501, 0.4678, 0.0405, NaN, NaN, 0.218, +-+--, 0.282, -0.053, -2.748
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, pip, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5579, 0.0435, 0.5347, 0.0574, NaN, NaN, 0.263, +-+++, 0.985, 4.659, 79.736
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, pip, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.506, 0.0353, 0.4931, 0.0449, NaN, NaN, 0.205, ----+, 0.029, -4.666, -72.395
 1, ['Close_norm'], None, pearson, padding, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4866, 0.0197, 0.4746, 0.0161, NaN, NaN, 0.282, ++--+, -0.013, -0.987, -18.134
 1, ['Close_norm'], None, pearson, padding, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4814, 0.0856, 0.4619, 0.087, NaN, NaN, 0.259, +--++, 0.814, -2.164, -32.109
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, padding, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5256, 0.0477, 0.5146, 0.0532, NaN, NaN, 0.399, +++++, 1.169, 8.868, 148.433
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, padding, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4905, 0.0324, 0.4684, 0.0353, NaN, NaN, 0.218, +-+--, 0.476, -0.094, -5.535
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, padding, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5146, 0.0484, 0.4797, 0.0706, NaN, NaN, 0.307, ++-++, 0.631, 2.793, 46.186
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, padding, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5291, 0.0492, 0.4903, 0.05, NaN, NaN, 0.211, +-+++, 0.35, 3.464, 59.832
 1, ['Close_norm'], None, pearson, time_join, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4893, 0.0236, 0.4792, 0.0247, NaN, NaN, 0.284, ++---, 0.286, -0.74, -16.259
 1, ['Close_norm'], None, pearson, time_join, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4728, 0.0788, 0.4547, 0.08, NaN, NaN, 0.276, +--+-, 0.007, -4.131, -71.794
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, time_join, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5256, 0.051, 0.5213, 0.0535, NaN, NaN, 0.41, +++-+, 0.838, 7.228, 115.91
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, time_join, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4852, 0.0291, 0.4617, 0.0292, NaN, NaN, 0.208, +-+-+, 0.567, 0.868, 13.127
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, time_join, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5319, 0.0475, 0.4958, 0.0761, NaN, NaN, 0.295, ++-++, 0.514, 1.612, 26.128
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, time_join, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5001, 0.0448, 0.4589, 0.0447, NaN, NaN, 0.234, +-+++, 0.49, 2.452, 42.211
 1, ['Close_norm'], None, pearson, delay_time_join, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.492, 0.0305, 0.4728, 0.034, NaN, NaN, 0.237, +++--, 0.276, 1.301, 12.583
 1, ['Close_norm'], None, pearson, delay_time_join, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4701, 0.0367, 0.4519, 0.0381, NaN, NaN, 0.236, -----, -0.22, -6.497, -106.968
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, delay_time_join, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5013, 0.0303, 0.492, 0.0295, NaN, NaN, 0.342, +-+++, 0.311, 1.341, 26.505
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, delay_time_join, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4906, 0.0262, 0.4608, 0.0347, NaN, NaN, 0.218, +-+++, 0.482, 2.761, 50.264
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, delay_time_join, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5232, 0.0268, 0.493, 0.0646, NaN, NaN, 0.29, ----+, 0.257, -1.485, -21.571
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, delay_time_join, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4857, 0.0457, 0.4276, 0.0722, NaN, NaN, 0.202, X---+, -0.074, -0.484, -5.277
