No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, delay_time_join, 25, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5242, 0.0675, 0.4909, 0.0876, NaN, NaN, 0.165, +-+--, 0.3, 1.244, 15.685
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, pip, 25, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.4963, 0.0278, 0.4673, 0.026, NaN, NaN, 0.229, +--+-, 0.162, -2.024, -39.241
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, pip, 25, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5055, 0.0567, 0.4738, 0.0576, NaN, NaN, 0.266, -+++-, 0.492, 2.071, 29.388
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, padding, 25, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5385, 0.0333, 0.5256, 0.0324, NaN, NaN, 0.299, +-+-+, 1.019, 5.991, 98.725
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, padding, 25, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.4921, 0.0363, 0.4816, 0.0329, NaN, NaN, 0.215, +----, 0.29, -2.361, -43.26
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, time_join, 25, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5286, 0.027, 0.5176, 0.0247, NaN, NaN, 0.289, +-+-+, 0.996, 5.811, 94.555
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, time_join, 25, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.4922, 0.0375, 0.4763, 0.0437, NaN, NaN, 0.224, +----, -0.047, -1.434, -29.801
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, delay_time_join, 25, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5063, 0.0468, 0.4995, 0.0488, NaN, NaN, 0.294, +-+-+, 1.121, 2.894, 45.713
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, delay_time_join, 25, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.487, 0.0582, 0.4772, 0.0555, NaN, NaN, 0.242, -+---, -0.516, -2.741, -55.651
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, pip, 25, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5063, 0.0487, 0.4875, 0.0231, NaN, NaN, 0.257, +-+-+, 1.129, 3.485, 54.316
