No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 1, ['Close_norm'], SAX, euclidean, pip, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5235, 0.063, 0.5062, 0.07, 0.516, 0.228, 0.272, +-+-+, 0.289, 2.245, 36.601
 1, ['Close_norm'], SAX, euclidean, pip, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5271, 0.0351, 0.5102, 0.038, 0.536, 0.234, 0.257, +-+--, 1.09, 6.585, 101.558
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, pip, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4897, 0.0453, 0.4751, 0.0468, 0.512, 0.194, 0.278, +-+++, 1.047, 4.082, 70.618
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, pip, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5116, 0.0541, 0.4877, 0.0606, 0.56, 0.246, 0.266, ++-+-, 1.02, 0.616, 9.966
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, pip, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5137, 0.0186, 0.5001, 0.0341, 0.507, 0.218, 0.262, +-+++, 1.158, 4.515, 69.894
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, pip, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.53, 0.0363, 0.5094, 0.0327, 0.535, 0.259, 0.254, ++-+-, 1.292, 0.218, 1.068
 1, ['Close_norm'], SAX, pearson, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.516, 0.0641, 0.4979, 0.0694, 0.516, 0.227, 0.272, +-+++, 0.274, 2.812, 48.318
 1, ['Close_norm'], SAX, pearson, padding, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5127, 0.0332, 0.4982, 0.033, 0.533, 0.242, 0.251, +-+-+, 0.679, 2.605, 40.66
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, pearson, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5175, 0.0543, 0.5033, 0.0587, 0.511, 0.205, 0.288, +++++, 1.194, 4.721, 81.556
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, pearson, padding, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5058, 0.0384, 0.4842, 0.0415, 0.559, 0.257, 0.252, +--+-, 1.266, 0.307, 6.605
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, pearson, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.521, 0.034, 0.5071, 0.041, 0.529, 0.231, 0.252, +++-+, 1.113, 3.987, 68.181
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, pearson, padding, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.51, 0.0398, 0.4868, 0.0311, 0.566, 0.262, 0.225, ++--+, 1.098, 0.083, 0.726
