No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 1, ['Close_norm'], None, euclidean, pip, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5335, 0.0854, 0.5236, 0.0813, 0.403, 0.217, 0.332, +-+++, 1.42, 4.786, 84.326
 1, ['Close_norm'], None, euclidean, pip, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5107, 0.0636, 0.5059, 0.06, 0.379, 0.188, 0.317, +-++-, 0.886, 5.272, 79.716
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, pip, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4949, 0.038, 0.4861, 0.0413, 0.417, 0.187, 0.285, +-++-, 0.822, 2.001, 34.674
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, pip, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5012, 0.0533, 0.4874, 0.0547, 0.42, 0.211, 0.315, +--++, 0.987, -0.43, -5.33
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, pip, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4886, 0.0572, 0.4793, 0.0535, 0.399, 0.209, 0.279, +-+-+, 1.158, 0.419, 10.419
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, pip, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4894, 0.0722, 0.4809, 0.0703, 0.403, 0.207, 0.226, +-++-, 0.66, 4.568, 70.633
 1, ['Close_norm'], None, pearson, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.556, 0.0822, 0.5499, 0.0811, 0.4, 0.216, 0.357, +-+++, 1.387, 7.44, 125.109
 1, ['Close_norm'], None, pearson, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5052, 0.0321, 0.5005, 0.0321, 0.414, 0.204, 0.311, +--+-, 0.508, 1.958, 28.531
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4925, 0.0534, 0.4828, 0.0492, 0.414, 0.194, 0.273, +-++-, 0.897, 2.75, 41.822
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5228, 0.0334, 0.5084, 0.0476, 0.427, 0.208, 0.307, ++-++, 1.332, 1.555, 26.4
