No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit,,,,,
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,10,15,1, LSTM, Close_proc, Close_norm,0.5043,0.0419,0.4718,0.0866,1.741,0.664, -+-+-,0.261,0.429,-1.418,-7.502,0.022,0.519,2.028,9.824,15.314,0.022,0.161,4.892,21.232
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,50,10,1, LSTM, Close_proc, Close_norm,0.5216,0.0461,0.4893,0.0626,1.687,0.554, -+--+,0.208,0.103,-2.496,-9.368,0.02,0.248,1.356,8.44,-24.968,0.02,0.622,0.172,0.64
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,50,5,1, LSTM, Close_norm, Close_norm,0.4965,0.0848,0.4207,0.1238,0.918,0.643, D+--D,0.218,-0.197,-2.304,-10.904,0.018,-0.116,2.213,13.834,-10.904,0.018,-0.116,2.213,13.834
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join,50,10,1, LSTM, Close_norm, Close_norm,0.518,0.0553,0.4444,0.1079,1.09,0.697, D+--D,0.144,0.156,-2.579,-12.028,0.02,0.122,1.315,7.11,-12.028,0.02,0.122,1.315,7.11
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,50,15,1, LSTM, Close_norm, Close_norm,0.5132,0.0317,0.4027,0.0613,1.153,0.774, D+--D,0.111,0.14,-3.121,-12.794,0.022,0.832,1.177,7.178,-12.794,0.022,0.832,1.177,7.178
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,25,15,1, LSTM, Close_norm, Close_norm,0.4821,0.043,0.3793,0.0635,1.16,0.722, D+--D,0.124,-0.08,-3.01,-13.858,0.022,0.353,1.232,6.646,-13.858,0.022,0.353,1.232,6.646
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join,50,15,1, LSTM, Close_norm, Close_norm,0.4777,0.075,0.3884,0.0905,1.049,0.637, D+--D,0.098,-0.077,-3.954,-17.546,0.022,0.066,0.76,4.802,-17.546,0.022,0.066,0.76,4.802
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join,50,5,1, LSTM, Close_proc, Close_norm,0.5362,0.0459,0.4782,0.0844,1.786,0.565, U+---,0.243,0.099,-2.49,-17.976,0.018,0.476,2.12,10.298,7.756,0.018,0.538,4.165,23.164
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join,50,5,1, LSTM, Close_norm, Close_norm,0.4892,0.0271,0.402,0.0646,0.849,0.565, D+--D,0.16,-0.267,-3.245,-18.616,0.018,0.207,1.742,9.978,-18.616,0.018,0.207,1.742,9.978
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join,10,15,1, LSTM, Close_norm, Close_norm,0.4866,0.0954,0.4136,0.1135,1.189,0.735, D+--D,0.111,-0.212,-3.5,-19.154,0.022,-0.243,0.987,3.998,-19.154,0.022,-0.243,0.987,3.998
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join,50,10,1, LSTM, Close_proc, Close_norm,0.51,0.0699,0.4851,0.0739,2.004,1.016, ++---,0.219,0.021,-1.446,-19.416,0.02,0.083,1.881,3.416,-33.056,0.02,-0.108,0.335,-3.404
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,25,10,1, LSTM, Close_norm, Close_norm,0.502,0.0402,0.4153,0.0854,1.113,0.831, D---D,0.156,0.243,-5.497,-25.08,0.02,-0.05,-0.144,0.584,-25.08,0.02,-0.05,-0.144,0.584
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,25,5,1, LSTM, Close_norm, Close_norm,0.4965,0.0351,0.4136,0.0952,1.034,0.68, D+--D,0.145,0.131,-4.875,-25.456,0.018,0.258,0.928,6.558,-25.456,0.018,0.258,0.928,6.558
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,25,5,1, LSTM, Close_proc, Close_norm,0.4963,0.0562,0.4909,0.0545,1.8,0.614, ---++,0.305,-0.22,-5.705,-26.228,0.018,0.101,0.512,6.172,21.332,0.018,0.845,5.108,29.952
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,10,5,1, LSTM, Close_norm, Close_norm,0.4746,0.0284,0.4096,0.0455,0.79,0.587, +---+,0.196,-0.229,-5.943,-32.344,0.018,0.044,0.393,3.114,-32.344,0.018,0.044,0.393,3.114
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join,25,5,1, LSTM, Close_proc, Close_norm,0.4889,0.0596,0.4312,0.0678,1.912,0.432, U----,0.293,-0.41,-4.807,-32.764,0.018,0.288,0.961,2.904,-12.36,0.018,0.194,3.297,13.106
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join,10,5,1, LSTM, Close_norm, Close_norm,0.4674,0.0665,0.3782,0.0835,1.194,0.803, D+--D,0.167,-0.321,-5.125,-33.596,0.018,0.094,0.802,2.488,-33.596,0.018,0.094,0.802,2.488
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join,25,10,1, LSTM, Close_norm, Close_norm,0.494,0.052,0.4212,0.0941,1.018,0.598, D+--D,0.14,-0.174,-6.314,-37.568,0.02,0.091,-0.552,-5.66,-37.568,0.02,0.091,-0.552,-5.66
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,10,10,1, LSTM, Close_proc, Close_norm,0.4461,0.0472,0.4075,0.0467,1.766,0.566, U-+--,0.235,-0.56,-4.631,-39.096,0.02,-0.332,0.289,-6.424,-22.964,0.02,0.246,0.955,1.642
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join,10,15,1, LSTM, Close_proc, Close_norm,0.4648,0.0277,0.4297,0.0574,1.799,0.558, D----,0.212,-1.136,-7.883,-54.086,0.022,-0.391,-1.204,-13.468,13.934,0.022,0.155,4.382,20.542
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,10,5,1, LSTM, Close_proc, Close_norm,0.4781,0.0457,0.4568,0.0595,2.159,0.662, -+---,0.272,-0.525,-9.366,-60.852,0.018,-0.648,-1.318,-11.14,-49.496,0.018,-0.195,-1.139,-5.462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
