No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 25, 10, 1, tuning, Close_norm, Close_norm, 0.494, 0.052, 0.4212, 0.0941, 1.018, 0.598, D+--D, 0.14, -0.174, -6.314, -37.568, 0.02, 0.091, -0.552, -5.66
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 25, 15, 1, tuning, Close_norm, Close_norm, 0.4955, 0.0504, 0.3949, 0.0658, 1.082, 0.749, D+--D, 0.138, 0.08, -1.27, -3.37, 0.022, 0.392, 2.102, 11.89
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 50, 5, 1, tuning, Close_norm, Close_norm, 0.4892, 0.0271, 0.402, 0.0646, 0.849, 0.565, D+--D, 0.16, -0.267, -3.245, -18.616, 0.018, 0.207, 1.742, 9.978
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 50, 10, 1, tuning, Close_norm, Close_norm, 0.518, 0.0553, 0.4444, 0.1079, 1.09, 0.697, D+--D, 0.144, 0.156, -2.579, -12.028, 0.02, 0.122, 1.315, 7.11
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 50, 15, 1, tuning, Close_norm, Close_norm, 0.4777, 0.075, 0.3884, 0.0905, 1.049, 0.637, D+--D, 0.098, -0.077, -3.954, -17.546, 0.022, 0.066, 0.76, 4.802
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 10, 5, 1, tuning, Close_proc, Close_norm, 0.4743, 0.0682, 0.4391, 0.055, 0.022, 0.008, ----+, 0.211, -0.315, -9.008, -49.496, 0.018, -0.195, -1.139, -5.462
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 10, 10, 1, tuning, Close_proc, Close_norm, 0.5099, 0.0357, 0.446, 0.0657, 0.023, 0.012, U+---, 0.171, 0.248, -3.299, -22.964, 0.02, 0.246, 0.955, 1.642
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 10, 15, 1, tuning, Close_proc, Close_norm, 0.4693, 0.0619, 0.4363, 0.0459, 0.019, 0.007, +++--, 0.221, 0.19, 4.311, 15.314, 0.022, 0.161, 4.892, 21.232
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 25, 5, 1, tuning, Close_proc, Close_norm, 0.5506, 0.0504, 0.528, 0.0479, 0.021, 0.008, ++-++, 0.264, 0.612, 3.487, 21.332, 0.018, 0.845, 5.108, 29.952
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 25, 10, 1, tuning, Close_proc, Close_norm, 0.5492, 0.0799, 0.4918, 0.1239, 0.026, 0.021, +--++, 0.219, 0.492, 2.15, 30.792, 0.02, 0.737, 3.679, 28.52
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 25, 15, 1, tuning, Close_proc, Close_norm, 0.4912, 0.0572, 0.4447, 0.0762, 0.021, 0.009, -+--+, 0.23, -0.232, 0.391, 1.01, 0.022, 0.205, 2.933, 14.08
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 50, 5, 1, tuning, Close_proc, Close_norm, 0.4892, 0.0245, 0.4281, 0.038, 0.022, 0.007, -+-++, 0.271, 0.562, -0.753, 4.144, 0.018, 0.733, 2.988, 21.358
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 50, 10, 1, tuning, Close_proc, Close_norm, 0.4938, 0.0469, 0.4384, 0.0891, 0.021, 0.008, -U--+, 0.203, 0.347, -4.864, -24.968, 0.02, 0.622, 0.172, 0.64
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 50, 15, 1, tuning, Close_proc, Close_norm, 0.4778, 0.0717, 0.4311, 0.0546, 0.024, 0.006, -++++, 0.181, 1.013, 5.461, 34.942, 0.022, 0.849, 5.468, 31.046
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 10, 5, 1, tuning, Close_proc, Close_norm, 0.5112, 0.0522, 0.4931, 0.0622, 0.019, 0.005, ++-+-, 0.257, 0.47, 1.279, 2.528, 0.018, 0.699, 4.004, 20.55
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 10, 10, 1, tuning, Close_proc, Close_norm, 0.5219, 0.0222, 0.4899, 0.0429, 0.021, 0.006, +++++, 0.231, 0.843, 6.069, 38.64, 0.02, 0.722, 5.639, 32.444
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 10, 15, 1, tuning, Close_proc, Close_norm, 0.4471, 0.0562, 0.4436, 0.0525, 0.019, 0.006, -++--, 0.275, 0.022, 3.289, 13.934, 0.022, 0.155, 4.382, 20.542
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 25, 5, 1, tuning, Close_proc, Close_norm, 0.4858, 0.0479, 0.4212, 0.0669, 0.022, 0.006, U-++-, 0.242, -0.068, -0.135, -12.36, 0.018, 0.194, 3.297, 13.106
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 25, 10, 1, tuning, Close_proc, Close_norm, 0.5216, 0.0575, 0.4839, 0.0669, 0.021, 0.008, ++--+, 0.243, 0.381, -1.235, -3.416, 0.02, 0.453, 1.987, 11.416
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 25, 15, 1, tuning, Close_proc, Close_norm, 0.5575, 0.0867, 0.5274, 0.0924, 0.018, 0.006, +++--, 0.204, 0.26, 8.195, 37.434, 0.022, 0.176, 6.834, 32.292
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 50, 5, 1, tuning, Close_proc, Close_norm, 0.5219, 0.0493, 0.4773, 0.0527, 0.019, 0.006, ++-+-, 0.293, 0.181, 1.601, 7.756, 0.018, 0.538, 4.165, 23.164
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 50, 10, 1, tuning, Close_proc, Close_norm, 0.5022, 0.0908, 0.4925, 0.0904, 0.02, 0.009, ++---, 0.275, -0.151, -4.539, -33.056, 0.02, -0.108, 0.335, -3.404
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 50, 15, 1, tuning, Close_proc, Close_norm, 0.509, 0.036, 0.452, 0.0781, 0.019, 0.006, ++-+-, 0.248, 0.02, -3.946, -26.826, 0.022, 0.16, 0.764, 0.162
 
