No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, pip, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5067, 0.0382, 0.5016, 0.0374, NaN, NaN, 0.367, +++-+, 0.813, 4.725, 73.639
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, pip, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5227, 0.0656, 0.5056, 0.0586, NaN, NaN, 0.213, +-+++, 0.374, 6.055, 107.635
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, pip, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4798, 0.0244, 0.4494, 0.0367, NaN, NaN, 0.269, +-+-+, -0.09, 0.216, 5.966
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, pip, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5202, 0.0558, 0.4783, 0.08, NaN, NaN, 0.188, +---+, 1.177, -0.667, -6.428
 1, ['Close_norm'], None, pearson, padding, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5213, 0.0311, 0.5005, 0.0242, NaN, NaN, 0.271, ++---, 0.155, 1.866, 24.751
 1, ['Close_norm'], None, pearson, padding, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.49, 0.0398, 0.4654, 0.0474, NaN, NaN, 0.174, +---+, 0.983, -1.203, -18.167
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, padding, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5255, 0.0373, 0.5209, 0.037, NaN, NaN, 0.375, +++-+, 0.4, 5.488, 84.793
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, padding, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5122, 0.066, 0.4972, 0.0583, NaN, NaN, 0.251, +-++-, 0.663, 3.054, 42.299
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, padding, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5261, 0.0309, 0.5069, 0.0452, NaN, NaN, 0.341, +--+-, 0.361, -1.29, -22.116
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, padding, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5058, 0.0325, 0.4434, 0.0564, NaN, NaN, 0.162, +---+, 0.221, -3.317, -48.582
 1, ['Close_norm'], None, pearson, time_join, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5053, 0.0369, 0.4867, 0.0274, NaN, NaN, 0.26, ++---, 0.209, -0.298, -15.869
 1, ['Close_norm'], None, pearson, time_join, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4901, 0.0446, 0.4711, 0.0481, NaN, NaN, 0.199, +--+-, 0.789, -2.922, -54.252
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, time_join, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5524, 0.0293, 0.5449, 0.0279, NaN, NaN, 0.356, +++++, 0.384, 8.406, 137.35
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, time_join, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4987, 0.0783, 0.4826, 0.0706, NaN, NaN, 0.264, +-++-, 0.362, 2.712, 36.952
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, time_join, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5261, 0.0309, 0.5095, 0.0421, NaN, NaN, 0.373, +--++, 0.561, -1.181, -19.096
