No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, pip, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5068, 0.0527, 0.4876, 0.0606, 0.399, 0.218, 0.294, +-+++, 1.315, 3.502, 59.705
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, pip, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5286, 0.0622, 0.5247, 0.0625, 0.394, 0.212, 0.282, +--++, 0.695, 0.123, 4.007
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, pip, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5426, 0.0536, 0.5311, 0.0537, 0.384, 0.207, 0.284, ++++-, 0.957, 5.786, 92.397
 1, ['Close_norm'], None, pearson, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5187, 0.0573, 0.5117, 0.0484, 0.403, 0.219, 0.367, +--++, 0.617, 0.9, 12.216
 1, ['Close_norm'], None, pearson, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5159, 0.0296, 0.5058, 0.0217, 0.356, 0.183, 0.343, +-+++, 0.924, 4.706, 78.978
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4824, 0.0407, 0.4607, 0.0418, 0.401, 0.196, 0.268, ++---, 0.868, -0.892, -20.003
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5122, 0.0513, 0.4966, 0.0524, 0.386, 0.192, 0.278, ++-++, 1.458, 2.998, 53.178
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5063, 0.0468, 0.5017, 0.0437, 0.393, 0.204, 0.289, +--+-, 0.618, -0.384, -5.888
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5533, 0.0775, 0.5466, 0.077, 0.366, 0.184, 0.264, +-++-, 0.853, 6.841, 105.14
 1, ['Close_norm'], None, pearson, time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.546, 0.0557, 0.5369, 0.0487, 0.402, 0.221, 0.362, +--++, 1.121, 1.97, 33.961
 1, ['Close_norm'], None, pearson, time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4947, 0.0208, 0.4886, 0.0163, 0.367, 0.201, 0.343, +-+++, 0.701, 4.568, 78.523
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5077, 0.0253, 0.4872, 0.04, 0.41, 0.21, 0.288, ++-+-, 1.001, 0.558, 6.01
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5335, 0.0555, 0.5187, 0.056, 0.402, 0.215, 0.286, ++-++, 1.286, 2.99, 57.569
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5087, 0.0457, 0.5007, 0.041, 0.392, 0.207, 0.265, +---+, 0.582, -0.667, -5.784
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5453, 0.0714, 0.5405, 0.0701, 0.374, 0.201, 0.298, +-++-, 0.841, 7.129, 109.904
 1, ['Close_norm'], None, pearson, delay_time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5411, 0.0588, 0.5323, 0.0519, 0.395, 0.217, 0.377, +-+-+, 1.025, 4.566, 72.186
 1, ['Close_norm'], None, pearson, delay_time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4919, 0.0508, 0.4783, 0.0493, 0.359, 0.181, 0.298, +-+++, 0.882, 4.052, 72.043
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, delay_time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5279, 0.0511, 0.5198, 0.0443, 0.405, 0.203, 0.288, ++---, 0.753, 0.073, -7.58
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, delay_time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5173, 0.0636, 0.4955, 0.083, 0.391, 0.19, 0.296, +--++, 1.043, 1.343, 32.825
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, delay_time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5137, 0.0302, 0.5052, 0.0299, 0.391, 0.206, 0.262, +--++, 1.156, 0.735, 17.499
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, delay_time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5186, 0.056, 0.509, 0.0491, 0.367, 0.181, 0.322, +--++, 0.259, 0.944, 18.596
 1, ['Close_norm'], None, pearson, pip, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5485, 0.0791, 0.5441, 0.0772, 0.395, 0.223, 0.389, +-+++, 1.207, 6.179, 100.222
 1, ['Close_norm'], None, pearson, pip, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5052, 0.0416, 0.4961, 0.04, 0.37, 0.196, 0.362, +-+++, 0.945, 4.953, 85.072
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, pip, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.51, 0.0185, 0.4884, 0.0334, 0.408, 0.216, 0.306, +-+++, 0.818, 5.23, 94.318
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, pip, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4826, 0.0287, 0.4667, 0.0274, 0.398, 0.203, 0.294, +--+-, 0.763, -3.361, -54.983
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, pip, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5211, 0.0234, 0.5142, 0.0194, 0.388, 0.212, 0.27, ++-++, 1.174, 0.29, 5.845
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, pip, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5318, 0.045, 0.5182, 0.0455, 0.384, 0.197, 0.25, +-+++, 0.831, 1.994, 34.493
 1, ['Close_norm'], None, co-integration, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5261, 0.062, 0.5202, 0.0641, 0.403, 0.214, 0.376, +--++, 0.989, 0.948, 17.997
 1, ['Close_norm'], None, co-integration, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.524, 0.0144, 0.5183, 0.0104, 0.359, 0.209, 0.311, +-++-, 0.686, 5.468, 83.215
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.49, 0.0455, 0.4783, 0.0477, 0.414, 0.219, 0.346, +--+-, 0.083, -1.395, -25.698
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5068, 0.0367, 0.4759, 0.0561, 0.377, 0.218, 0.272, ++-++, 1.124, 2.257, 39.913
