No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4773, 0.0292, 0.4075, 0.0608, 1.109, 0.377, 0.096, X----, 0.117, -4.025, -66.13
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, padding, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4709, 0.0653, 0.3949, 0.1044, 1.227, 0.48, 0.072, X-X-+, 0.192, -4.427, -68.439
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4823, 0.0213, 0.414, 0.0664, 1.098, 0.306, 0.101, X----, 0.221, -3.73, -59.778
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.471, 0.0601, 0.3994, 0.0882, 1.232, 0.474, 0.078, -----, 0.297, -4.035, -64.939
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, delay_time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5074, 0.0415, 0.4385, 0.0913, 1.11, 0.364, 0.126, X---+, 0.739, -1.388, -16.107
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, delay_time_join, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4566, 0.0531, 0.3817, 0.0774, 1.218, 0.458, 0.067, X-X--, -0.12, -5.036, -81.895
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, pip, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5124, 0.0549, 0.4415, 0.1046, 1.117, 0.312, 0.116, X--++, 0.607, -2.294, -32.107
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, pip, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.471, 0.0534, 0.3888, 0.0834, 1.265, 0.448, 0.084, X---+, 0.146, -3.1, -46.2
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4899, 0.0366, 0.4253, 0.0857, 0.981, 0.327, 0.114, X----, 0.695, -2.906, -46.47
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, padding, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4797, 0.0608, 0.4113, 0.1016, 1.197, 0.558, 0.084, X-X+-, -0.099, -4.96, -81.93
