No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4862, 0.0454, 0.4719, 0.0448, 0.45, 0.216, +---+, 0.294, 0.08, -0.741, -8.95, 0.012, 0.81, 3.599, 61.055
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4987, 0.0268, 0.4797, 0.0397, 0.515, 0.232, +-+--, 0.239, 0.931, 2.773, 39.94, 0.012, 1.106, 5.356, 85.5
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5105, 0.0547, 0.4942, 0.0462, 0.451, 0.192, +-+++, 0.269, 0.235, 2.051, 35.668, 0.013, 0.812, 4.685, 79.269
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5133, 0.0083, 0.4963, 0.0291, 0.519, 0.222, +-+--, 0.218, 1.109, 3.797, 58.106, 0.013, 1.213, 5.557, 90.487
 1, ['Close_norm'], None, co-integration, time_join, 0, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5071, 0.0465, 0.4938, 0.0427, 0.468, 0.213, +--+-, 0.225, 0.495, 1.261, 18.245, 0.014, 1.146, 4.433, 73.62
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4928, 0.0255, 0.4716, 0.0257, 0.547, 0.24, --+--, 0.211, 0.264, 2.295, 32.924, 0.014, 0.769, 4.95, 80.959
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5024, 0.0451, 0.4947, 0.0402, 0.447, 0.208, +++++, 0.268, 1.672, 4.31, 66.584, 0.013, 1.112, 5.588, 90.615
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5176, 0.0321, 0.489, 0.0506, 0.596, 0.206, +-+++, 0.204, 1.614, 5.183, 88.936, 0.013, 1.449, 6.025, 101.791
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4948, 0.049, 0.4807, 0.0481, 0.501, 0.212, +++++, 0.253, 1.065, 3.944, 62.135, 0.013, 0.989, 5.405, 88.39
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5121, 0.0173, 0.5055, 0.0199, 0.456, 0.208, ++++-, 0.307, 1.021, 4.466, 68.209, 0.013, 0.826, 5.963, 96.525
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.496, 0.0367, 0.4638, 0.0557, 0.683, 0.278, ++-++, 0.135, 1.541, -0.794, -12.956, 0.013, 1.655, 3.333, 55.943
