No. of features, selected_features, sim_func, fix_len_func, k stock, window_len, next_t, model, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, mean_sharp_ratio, mean_profit, std_profit
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 25, 0, 1, GradientBoostingClassifier, 0.5121, 0.0433, 0.4781, 0.0514, NaN, NaN, 0.211, 15.92, 47.231
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 25, 0, 3, RandomForestRegressor, 0.493, 0.0416, 0.4918, 0.0418, 0.012, 0.003, 0.161, 14.256, 65.337
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 25, 0, 3, RandomForestClassifier, 0.5102, 0.0357, 0.4977, 0.0368, NaN, NaN, 0.535, 5.713, 77.245
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 25, 0, 3, GradientBoostingRegressor, 0.4928, 0.0409, 0.4851, 0.0425, 0.012, 0.003, -0.02, 12.601, 39.663
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 25, 0, 3, GradientBoostingClassifier, 0.5289, 0.0415, 0.4746, 0.0659, NaN, NaN, 0.324, 0.314, 34.809
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 25, 0, 7, RandomForestRegressor, 0.4919, 0.0364, 0.4911, 0.0363, 0.012, 0.003, -0.026, 2.56, 50.547
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 25, 0, 7, RandomForestClassifier, 0.5096, 0.05, 0.4943, 0.0497, NaN, NaN, 0.51, 12.722, 42.466
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 25, 0, 7, GradientBoostingRegressor, 0.5033, 0.0387, 0.4962, 0.0391, 0.011, 0.003, -0.145, -2.319, 46.728
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 25, 0, 7, GradientBoostingClassifier, 0.5221, 0.0386, 0.4349, 0.0562, NaN, NaN, -0.217, 10.992, 68.291
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 25, 0, 1, RandomForestRegressor, 0.4819, 0.0434, 0.4804, 0.0438, 0.012, 0.003, -0.074, 1.88, 21.483
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 25, 0, 1, RandomForestClassifier, 0.4925, 0.0357, 0.48, 0.0399, NaN, NaN, 0.207, 6.885, 55.387
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 25, 0, 1, GradientBoostingRegressor, 0.4995, 0.0458, 0.4921, 0.0456, 0.012, 0.003, 0.126, 11.222, 42.522
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 25, 0, 1, GradientBoostingClassifier, 0.5061, 0.0473, 0.4701, 0.0563, NaN, NaN, 0.41, 17.275, 44.55
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 25, 0, 3, RandomForestRegressor, 0.497, 0.0504, 0.4958, 0.0504, 0.012, 0.003, 0.556, 17.845, 43.872
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 25, 0, 3, RandomForestClassifier, 0.5067, 0.0341, 0.4969, 0.0367, NaN, NaN, 0.117, 15.012, 78.767
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 25, 0, 3, GradientBoostingRegressor, 0.4974, 0.0361, 0.4872, 0.0405, 0.012, 0.003, -0.013, 13.838, 52.774
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 25, 0, 3, GradientBoostingClassifier, 0.5136, 0.0363, 0.47, 0.0535, NaN, NaN, 0.332, -1.52, 31.886
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 25, 0, 7, RandomForestRegressor, 0.5013, 0.0372, 0.5003, 0.0372, 0.012, 0.003, 0.432, 4.397, 22.486
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 25, 0, 7, RandomForestClassifier, 0.4986, 0.0522, 0.4879, 0.0496, NaN, NaN, 0.357, 10.963, 48.033
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 25, 0, 7, GradientBoostingRegressor, 0.5086, 0.0499, 0.5053, 0.0506, 0.012, 0.003, 0.067, 11.665, 43.333
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 25, 0, 7, GradientBoostingClassifier, 0.5117, 0.0421, 0.4603, 0.057, NaN, NaN, 0.246, 10.346, 47.207
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 25, 0, 1, RandomForestRegressor, 0.4797, 0.0432, 0.4782, 0.0435, 0.012, 0.003, 0.087, 7.317, 22.03
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 25, 0, 1, RandomForestClassifier, 0.4959, 0.0382, 0.4798, 0.0493, NaN, NaN, 0.221, 5.775, 55.603
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 25, 0, 1, GradientBoostingRegressor, 0.5062, 0.0341, 0.4957, 0.0401, 0.012, 0.003, 0.197, 8.666, 42.306
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 25, 0, 1, GradientBoostingClassifier, 0.5054, 0.0458, 0.4706, 0.0602, NaN, NaN, 0.193, 14.599, 45.068
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 25, 0, 3, RandomForestRegressor, 0.49, 0.0426, 0.4889, 0.0426, 0.012, 0.003, 0.541, 16.264, 44.177
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 25, 0, 3, RandomForestClassifier, 0.4955, 0.0353, 0.485, 0.0394, NaN, NaN, 0.362, 16.076, 78.629
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 25, 0, 3, GradientBoostingRegressor, 0.5076, 0.0332, 0.5037, 0.0332, 0.012, 0.003, -0.086, 12.066, 53.028
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 25, 0, 3, GradientBoostingClassifier, 0.5082, 0.0327, 0.4783, 0.0455, NaN, NaN, 0.156, -1.818, 31.631
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 25, 0, 7, RandomForestRegressor, 0.495, 0.035, 0.4941, 0.0349, 0.012, 0.003, 0.218, 3.132, 21.758
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 25, 0, 7, RandomForestClassifier, 0.5053, 0.0461, 0.4963, 0.0503, NaN, NaN, 0.517, 14.813, 47.046
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 25, 0, 7, GradientBoostingRegressor, 0.4999, 0.0551, 0.493, 0.0556, 0.012, 0.003, 0.194, 11.12, 43.055
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 25, 0, 7, GradientBoostingClassifier, 0.5125, 0.0352, 0.4644, 0.0582, NaN, NaN, 0.076, 10.574, 46.852
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 25, 0, 1, RandomForestRegressor, 0.4818, 0.045, 0.4804, 0.0455, 0.012, 0.003, 0.041, 5.735, 20.936
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 25, 0, 1, RandomForestClassifier, 0.4925, 0.0368, 0.4756, 0.0448, NaN, NaN, 0.299, 6.413, 55.751
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 25, 0, 1, GradientBoostingRegressor, 0.5063, 0.0343, 0.5031, 0.0348, 0.012, 0.003, 0.16, 7.541, 42.682
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 25, 0, 1, GradientBoostingClassifier, 0.5043, 0.043, 0.4736, 0.0573, NaN, NaN, 0.103, 15.439, 45.176
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 25, 0, 3, RandomForestRegressor, 0.4875, 0.0436, 0.4864, 0.0437, 0.012, 0.003, 0.539, 16.216, 44.521
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 25, 0, 3, RandomForestClassifier, 0.4958, 0.0312, 0.4842, 0.0396, NaN, NaN, 0.336, 14.909, 78.842
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 25, 0, 3, GradientBoostingRegressor, 0.5041, 0.0355, 0.5014, 0.0353, 0.012, 0.003, 0.005, 12.472, 52.961
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 25, 0, 3, GradientBoostingClassifier, 0.5092, 0.0337, 0.4778, 0.0451, NaN, NaN, 0.225, -0.236, 32.381
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 25, 0, 7, RandomForestRegressor, 0.4974, 0.0322, 0.4963, 0.0323, 0.012, 0.003, 0.277, 3.667, 21.65
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 25, 0, 7, RandomForestClassifier, 0.5044, 0.0507, 0.495, 0.0513, NaN, NaN, 0.532, 15.981, 47.447
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 25, 0, 7, GradientBoostingRegressor, 0.4973, 0.0547, 0.4952, 0.0549, 0.012, 0.003, 0.358, 12.945, 42.641
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 25, 0, 7, GradientBoostingClassifier, 0.5123, 0.0403, 0.4742, 0.0534, NaN, NaN, 0.097, 10.115, 46.953
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 25, 0, 1, RandomForestRegressor, 0.4903, 0.0439, 0.4892, 0.0445, 0.012, 0.003, 0.401, 5.025, 39.49
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 25, 0, 1, RandomForestClassifier, 0.5, 0.04, 0.4892, 0.039, NaN, NaN, -0.014, 11.547, 39.637
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 25, 0, 1, GradientBoostingRegressor, 0.5032, 0.0401, 0.498, 0.0407, 0.012, 0.003, 0.378, 4.386, 44.358
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 25, 0, 1, GradientBoostingClassifier, 0.5143, 0.0456, 0.4847, 0.0613, NaN, NaN, 0.521, 12.706, 36.431
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 25, 0, 3, RandomForestRegressor, 0.4979, 0.0413, 0.4966, 0.0411, 0.012, 0.004, 0.101, 4.357, 36.651
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 25, 0, 3, RandomForestClassifier, 0.5102, 0.0354, 0.4932, 0.0411, NaN, NaN, 0.563, -0.391, 50.354
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 25, 0, 3, GradientBoostingRegressor, 0.5001, 0.0471, 0.4881, 0.0504, 0.012, 0.003, 0.112, 3.179, 42.399
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 25, 0, 3, GradientBoostingClassifier, 0.5187, 0.0382, 0.4372, 0.0624, NaN, NaN, 0.391, 5.725, 38.529
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 25, 0, 7, RandomForestRegressor, 0.4922, 0.0442, 0.4911, 0.0443, 0.012, 0.003, 0.397, 13.538, 54.038
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 25, 0, 7, RandomForestClassifier, 0.5013, 0.0468, 0.4834, 0.0448, NaN, NaN, 0.435, 19.041, 67.159
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 25, 0, 7, GradientBoostingRegressor, 0.4911, 0.0413, 0.4764, 0.045, 0.011, 0.003, 0.15, 15.311, 64.167
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 25, 0, 7, GradientBoostingClassifier, 0.5161, 0.0387, 0.4253, 0.0528, NaN, NaN, 0.195, 16.338, 69.532
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 50, 0, 1, RandomForestRegressor, 0.4996, 0.0375, 0.4982, 0.0378, 0.012, 0.003, -0.019, 13.688, 36.676
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 50, 0, 1, RandomForestClassifier, 0.5026, 0.038, 0.491, 0.0395, NaN, NaN, 0.371, 14.474, 36.653
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 50, 0, 1, GradientBoostingRegressor, 0.4997, 0.0443, 0.4967, 0.0445, 0.011, 0.003, 0.152, 4.736, 38.076
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 50, 0, 1, GradientBoostingClassifier, 0.5102, 0.0346, 0.4892, 0.0458, NaN, NaN, 0.3, 0.081, 41.398
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 50, 0, 3, RandomForestRegressor, 0.4909, 0.0445, 0.4898, 0.0443, 0.012, 0.003, 0.237, 13.181, 39.782
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 50, 0, 3, RandomForestClassifier, 0.5211, 0.0328, 0.5083, 0.0332, NaN, NaN, 0.479, 10.569, 55.044
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 50, 0, 3, GradientBoostingRegressor, 0.4891, 0.047, 0.4828, 0.047, 0.011, 0.003, -0.035, 8.927, 34.896
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 50, 0, 3, GradientBoostingClassifier, 0.526, 0.0366, 0.4664, 0.0515, NaN, NaN, 0.403, 4.099, 23.891
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 50, 0, 7, RandomForestRegressor, 0.4801, 0.0394, 0.4791, 0.0396, 0.012, 0.003, 0.376, 5.243, 39.549
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 50, 0, 7, RandomForestClassifier, 0.5147, 0.0451, 0.4944, 0.0488, NaN, NaN, 0.308, 21.365, 87.684
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 50, 0, 7, GradientBoostingRegressor, 0.4995, 0.0451, 0.4951, 0.0462, 0.011, 0.003, 0.162, 9.669, 76.099
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 50, 0, 7, GradientBoostingClassifier, 0.5207, 0.0431, 0.4235, 0.0586, NaN, NaN, 0.122, 8.639, 40.788
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 50, 0, 1, RandomForestRegressor, 0.4837, 0.0405, 0.4823, 0.0414, 0.012, 0.003, 0.409, 17.646, 52.371
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 50, 0, 1, RandomForestClassifier, 0.496, 0.0398, 0.4859, 0.0395, NaN, NaN, 0.305, 12.381, 49.464
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 50, 0, 1, GradientBoostingRegressor, 0.4983, 0.0356, 0.4935, 0.0356, 0.012, 0.003, 0.34, 2.883, 38.93
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 50, 0, 1, GradientBoostingClassifier, 0.5104, 0.0448, 0.4888, 0.0533, NaN, NaN, 0.31, 6.622, 27.778
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 50, 0, 3, RandomForestRegressor, 0.4928, 0.0415, 0.4913, 0.0418, 0.012, 0.003, 0.039, 19.09, 52.677
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 50, 0, 3, RandomForestClassifier, 0.5079, 0.0296, 0.4931, 0.0332, NaN, NaN, 0.601, 16.395, 49.244
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 50, 0, 3, GradientBoostingRegressor, 0.4968, 0.0398, 0.4912, 0.0401, 0.011, 0.003, -0.234, 4.513, 47.386
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 50, 0, 3, GradientBoostingClassifier, 0.5223, 0.0279, 0.4697, 0.0463, NaN, NaN, 0.265, -2.283, 27.825
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 50, 0, 7, RandomForestRegressor, 0.4917, 0.0429, 0.4907, 0.0429, 0.012, 0.003, 0.201, 2.893, 31.565
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 50, 0, 7, RandomForestClassifier, 0.5076, 0.0464, 0.4895, 0.0456, NaN, NaN, 0.473, 14.407, 66.557
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 50, 0, 7, GradientBoostingRegressor, 0.503, 0.045, 0.4973, 0.0461, 0.011, 0.003, -0.13, 4.286, 82.377
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 50, 0, 7, GradientBoostingClassifier, 0.5237, 0.0362, 0.4239, 0.06, NaN, NaN, 0.144, 10.243, 46.062
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 50, 0, 1, RandomForestRegressor, 0.4881, 0.0469, 0.4868, 0.047, 0.012, 0.003, -0.062, 2.243, 20.247
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 50, 0, 1, RandomForestClassifier, 0.4982, 0.0484, 0.4875, 0.0521, NaN, NaN, 0.441, 8.023, 56.059
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 50, 0, 1, GradientBoostingRegressor, 0.5017, 0.0393, 0.4933, 0.0386, 0.012, 0.003, 0.129, 9.791, 42.737
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 50, 0, 1, GradientBoostingClassifier, 0.5023, 0.049, 0.4725, 0.0591, NaN, NaN, 0.387, 14.864, 45.548
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 50, 0, 3, RandomForestRegressor, 0.492, 0.0476, 0.4907, 0.0477, 0.012, 0.003, 0.763, 18.854, 43.955
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 50, 0, 3, RandomForestClassifier, 0.5085, 0.0311, 0.5002, 0.0323, NaN, NaN, 0.219, 14.358, 79.224
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 50, 0, 3, GradientBoostingRegressor, 0.5033, 0.0391, 0.4916, 0.0443, 0.011, 0.003, -0.098, 13.864, 52.633
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 50, 0, 3, GradientBoostingClassifier, 0.5122, 0.0376, 0.4666, 0.0594, NaN, NaN, 0.511, -1.185, 32.473
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 50, 0, 7, RandomForestRegressor, 0.4932, 0.0466, 0.4923, 0.0466, 0.012, 0.003, 0.557, 4.701, 22.587
