No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, co-integration, time_join, 10, 5, 1, LSTM, Close_norm, Close_norm, 0.5036, 0.0551, 0.476, 0.0668, 0.343, 0.203, +---+, 0.19, 0.945, -0.361, -6.606, 0.012, 1.556, 3.789, 62.227
 1, ['Close_norm'], SAX, co-integration, time_join, 10, 5, 1, LSTM, Close_norm, Close_norm, 0.5186, 0.0421, 0.4814, 0.0748, 0.608, 0.297, ++-++, 0.224, 1.141, -0.348, -4.018, 0.012, 1.854, 3.795, 63.521
 1, ['Close_norm'], None, co-integration, time_join, 10, 10, 1, LSTM, Close_norm, Close_norm, 0.5052, 0.0766, 0.4769, 0.0828, 0.356, 0.2, +-+++, 0.202, 0.525, 1.037, 21.463, 0.013, 1.061, 4.177, 72.166
 1, ['Close_norm'], SAX, co-integration, time_join, 10, 10, 1, LSTM, Close_norm, Close_norm, 0.516, 0.0533, 0.494, 0.0658, 0.617, 0.288, +--+-, 0.229, 1.181, 1.499, 25.049, 0.013, 1.312, 4.408, 73.959
 1, ['Close_norm'], None, co-integration, time_join, 10, 15, 1, LSTM, Close_norm, Close_norm, 0.507, 0.0364, 0.4863, 0.0445, 0.341, 0.184, +-+--, 0.259, 0.083, 0.053, -1.251, 0.014, 0.466, 3.829, 63.872
 1, ['Close_norm'], SAX, co-integration, time_join, 10, 15, 1, LSTM, Close_norm, Close_norm, 0.5043, 0.0228, 0.4875, 0.014, 0.642, 0.308, +-+--, 0.236, 1.075, -0.124, -6.709, 0.014, 1.605, 3.741, 61.143
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 10, 5, 1, LSTM, Close_norm, Close_norm, 0.4874, 0.0453, 0.4623, 0.0529, 0.492, 0.228, +--+-, 0.217, 0.377, -5.27, -87.74, 0.013, 0.985, 0.798, 13.453
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 10, 5, 1, LSTM, Close_norm, Close_norm, 0.4822, 0.0395, 0.4077, 0.0782, 0.812, 0.354, D--++, 0.098, 0.599, -1.153, -11.108, 0.013, 1.096, 2.856, 51.769
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 10, 5, 1, LSTM, Close_norm, Close_norm, 0.5099, 0.0542, 0.4731, 0.076, 0.577, 0.25, +-+-+, 0.227, 0.364, 0.067, 3.217, 0.013, 0.884, 3.467, 58.932
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 10, 10, 1, LSTM, Close_norm, Close_norm, 0.5041, 0.0362, 0.4803, 0.04, 0.534, 0.266, ---+-, 0.25, 0.202, -1.29, -18.61, 0.013, 0.404, 3.084, 53.116
