No. of features, selected_features, sim_func, fix_len_func, k stock, window_len, next_t, model, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, mean_sharp_ratio, mean_profit, std_profit
1, ['Close_proc'], sax, time_join, 10, 0, 3, GradientBoostingClassifier, 0.5112, 0.0363, 0.4472, 0.0491, NaN, NaN, 0.309, -2.369, 41.715
1, ['Close_proc'], sax, time_join, 10, 0, 7, RandomForestRegressor, 0.5019, 0.0426, 0.5009, 0.0429, 0.014, 0.003, 0.144, 18.311, 82.184
1, ['Close_proc'], sax, time_join, 10, 0, 7, RandomForestClassifier, 0.5118, 0.0362, 0.508, 0.0358, NaN, NaN, 0.284, 17.881, 52.51
1, ['Close_proc'], sax, time_join, 10, 0, 7, GradientBoostingRegressor, 0.4976, 0.0514, 0.489, 0.0529, 0.011, 0.003, -0.154, 6.271, 35.737
1, ['Close_proc'], sax, time_join, 10, 0, 7, GradientBoostingClassifier, 0.525, 0.0362, 0.4259, 0.0515, NaN, NaN, 0.227, 18.214, 41.031
1, ['Close_proc'], sax, pip, 10, 0, 1, RandomForestRegressor, 0.4983, 0.0399, 0.4968, 0.04, 0.013, 0.003, -0.382, -4.03, 33.928
1, ['Close_proc'], sax, pip, 10, 0, 1, RandomForestClassifier, 0.5027, 0.0377, 0.4993, 0.0382, NaN, NaN, 0.105, 2.405, 52.737
1, ['Close_proc'], sax, pip, 10, 0, 1, GradientBoostingRegressor, 0.5078, 0.0432, 0.497, 0.0477, 0.011, 0.003, 0.016, 0.393, 51.279
1, ['Close_proc'], sax, pip, 10, 0, 1, GradientBoostingClassifier, 0.5168, 0.0369, 0.4439, 0.0473, NaN, NaN, 0.107, 6.364, 32.085
1, ['Close_proc'], sax, pip, 10, 0, 3, RandomForestRegressor, 0.5119, 0.0459, 0.5105, 0.0454, 0.013, 0.003, 0.215, 12.967, 48.549
1, ['Close_proc'], sax, pip, 10, 0, 3, RandomForestClassifier, 0.5108, 0.0473, 0.5081, 0.0473, NaN, NaN, -0.05, 3.796, 53.982
1, ['Close_proc'], sax, pip, 10, 0, 3, GradientBoostingRegressor, 0.5003, 0.0556, 0.4926, 0.058, 0.011, 0.003, 0.021, 2.155, 36.951
1, ['Close_proc'], sax, pip, 10, 0, 3, GradientBoostingClassifier, 0.5115, 0.0431, 0.4564, 0.0487, NaN, NaN, 0.257, -2.301, 41.817
1, ['Close_proc'], sax, pip, 10, 0, 7, RandomForestRegressor, 0.4992, 0.0413, 0.498, 0.0413, 0.014, 0.003, 0.044, 16.891, 82.453
1, ['Close_proc'], sax, pip, 10, 0, 7, RandomForestClassifier, 0.5054, 0.0348, 0.5021, 0.034, NaN, NaN, -0.022, 14.033, 54.354
1, ['Close_proc'], sax, pip, 10, 0, 7, GradientBoostingRegressor, 0.4977, 0.0465, 0.4909, 0.0474, 0.011, 0.003, 0.004, 6.249, 36.008
1, ['Close_proc'], sax, pip, 10, 0, 7, GradientBoostingClassifier, 0.5178, 0.043, 0.4315, 0.0586, NaN, NaN, 0.115, 17.647, 41.215
1, ['Close_proc'], co-integration, time_join, 10, 0, 1, RandomForestRegressor, 0.4966, 0.0373, 0.4952, 0.0374, 0.013, 0.003, -0.336, -3.557, 33.551
1, ['Close_proc'], co-integration, time_join, 10, 0, 1, RandomForestClassifier, 0.5001, 0.038, 0.4965, 0.0386, NaN, NaN, 0.033, 2.641, 52.608
1, ['Close_proc'], co-integration, time_join, 10, 0, 1, GradientBoostingRegressor, 0.5077, 0.0334, 0.5008, 0.0362, 0.011, 0.003, 0.018, 0.684, 51.029
1, ['Close_proc'], co-integration, time_join, 10, 0, 1, GradientBoostingClassifier, 0.5185, 0.0354, 0.4386, 0.0474, NaN, NaN, 0.083, 6.123, 32.549
1, ['Close_proc'], co-integration, time_join, 10, 0, 3, RandomForestRegressor, 0.5103, 0.0437, 0.5089, 0.0434, 0.013, 0.003, 0.232, 12.343, 49.135
1, ['Close_proc'], co-integration, time_join, 10, 0, 3, RandomForestClassifier, 0.5053, 0.0407, 0.5018, 0.0414, NaN, NaN, 0.072, 5.451, 53.755
1, ['Close_proc'], co-integration, time_join, 10, 0, 3, GradientBoostingRegressor, 0.4967, 0.0555, 0.49, 0.0588, 0.011, 0.003, -0.03, 1.114, 37.082
1, ['Close_proc'], co-integration, time_join, 10, 0, 3, GradientBoostingClassifier, 0.5067, 0.0381, 0.4488, 0.0487, NaN, NaN, 0.174, -2.569, 41.633
1, ['Close_proc'], co-integration, time_join, 10, 0, 7, RandomForestRegressor, 0.5004, 0.0427, 0.4995, 0.0429, 0.014, 0.003, 0.011, 16.249, 82.762
1, ['Close_proc'], co-integration, time_join, 10, 0, 7, RandomForestClassifier, 0.5076, 0.0395, 0.5041, 0.0388, NaN, NaN, 0.053, 14.729, 54.223
1, ['Close_proc'], co-integration, time_join, 10, 0, 7, GradientBoostingRegressor, 0.4967, 0.0501, 0.4912, 0.0513, 0.011, 0.003, 0.109, 6.759, 35.62
1, ['Close_proc'], co-integration, time_join, 10, 0, 7, GradientBoostingClassifier, 0.5181, 0.0427, 0.4348, 0.0574, NaN, NaN, 0.066, 18.703, 41.391
1, ['Close_proc'], co-integration, pip, 10, 0, 1, RandomForestRegressor, 0.4967, 0.0429, 0.4948, 0.0438, 0.014, 0.003, -0.128, -0.465, 33.405
1, ['Close_proc'], co-integration, pip, 10, 0, 1, RandomForestClassifier, 0.4977, 0.0421, 0.4949, 0.0422, NaN, NaN, -0.01, 2.488, 52.776
1, ['Close_proc'], co-integration, pip, 10, 0, 1, GradientBoostingRegressor, 0.5068, 0.0361, 0.4956, 0.0413, 0.011, 0.003, 0.321, 2.73, 50.212
